scryfall_id,id,source_sheet,source_row,category,product_id,sku,name_cn,name_en,series,product_type,language,variant,unit,pack_size,stock,stock_warehouse,stock_front,barcode,erp_code,erp_name,cost,selling_price,external_price,domestic_price,proposed_price,deposit,balance,external_url,taobao_url,title,notes,margin,margin_rate,external_gap,external_gap_rate,below_external,external_status,price_status,external_price_sheet,external_price_live_usd,external_price_live_cny,external_checked_at,external_source,external_link_status,external_link_issue,ck_match_status,ck_match_type,ck_match_confidence,ck_name,ck_edition,ck_url,ck_cash_usd,ck_cash_cny,ck_credit_usd,ck_qty_buying,ck_ships_internationally,below_ck_buylist,ck_buylist_gap,external_url_removed,deterministic_fix,source_disagreement_rate,reference_source_count,risk_level,risk_reasons,opportunity_level,reference_links
,749f794b96c5257e,FAB封装产品,65,FAB封装,1005038956013,FAB-AD-Arakni-EnBx,军械库：阿拉克尼,Armory Deck Arakni,FAB-AD,军械库预组,英文,/,整盒,1,5,,5,9421037054353,CPXX202512160883,FAB AD Arakni 军械库预组 英文整盒,200,280,,,,,,https://fabtcg.com/products/product/armory-deck-arakni/,https://item.taobao.com/item.htm?id=1005038956013,,,80,0.285714,,,False,,正常,,,,,表内参考价,连接待复核,HTTPError: HTTP Error 403: Forbidden,无精确匹配,,,,,,,,,,,False,,,,,0,待复核,['HTTPError: HTTP Error 403: Forbidden'],,"{'original': 'https://fabtcg.com/products/product/armory-deck-arakni/', 'tcgplayer': '', 'cardkingdom': '', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Armory+Deck+Arakni+%E5%86%9B%E6%A2%B0%E5%BA%93%EF%BC%9A%E9%98%BF%E6%8B%89%E5%85%8B%E5%B0%BC+FAB-AD+%E5%86%9B%E6%A2%B0%E5%BA%93%E9%A2%84%E7%BB%84+%E8%8B%B1%E6%96%87', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Armory+Deck+Arakni+%E5%86%9B%E6%A2%B0%E5%BA%93%EF%BC%9A%E9%98%BF%E6%8B%89%E5%85%8B%E5%B0%BC+FAB-AD+%E5%86%9B%E6%A2%B0%E5%BA%93%E9%A2%84%E7%BB%84+%E8%8B%B1%E6%96%87+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,d25502ad72c798ba,FAB封装产品,75,FAB封装,1023882843146,FAB-SA-2-V2,白银时代2-阿拉克尼,SILVER AGE Deck2-ARAKNI,Silver Age2,SA预组,英文,/,整盒,1,4,,4,9421037054568,CPXX202602270976,FAB SA2 预组 ARAKNI 英文单盒,98,140,,,,,,https://fabtcg.com/digital-assets/silver-age/,https://item.taobao.com/item.htm?id=1023882843146,,,42,0.3,,,False,,正常,,,,,表内参考价,连接待复核,HTTPError: HTTP Error 403: Forbidden,无精确匹配,,,,,,,,,,,False,,,,,0,待复核,['HTTPError: HTTP Error 403: Forbidden'],,"{'original': 'https://fabtcg.com/digital-assets/silver-age/', 'tcgplayer': '', 'cardkingdom': '', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=SILVER+AGE+Deck2-ARAKNI+%E7%99%BD%E9%93%B6%E6%97%B6%E4%BB%A32-%E9%98%BF%E6%8B%89%E5%85%8B%E5%B0%BC+Silver+Age2+SA%E9%A2%84%E7%BB%84+%E8%8B%B1%E6%96%87', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=SILVER+AGE+Deck2-ARAKNI+%E7%99%BD%E9%93%B6%E6%97%B6%E4%BB%A32-%E9%98%BF%E6%8B%89%E5%85%8B%E5%B0%BC+Silver+Age2+SA%E9%A2%84%E7%BB%84+%E8%8B%B1%E6%96%87+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,8d1b30ffe619adf2,SL库存,2,SL库存,950123857487,Magic-SLD-R1424-Q4-S001-EnNoFoil,群众歇斯底里,Absolute Annihilation,,,,平,,,77,,,,,,167,298,328.98,,298,,,https://www.tcgplayer.com/product/514998/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Absolute%20Annihilation%20Non%20Foil%20Edition?xid=a0bf62959-bd8c-497a-bc23-52a677bfa378&Language=English,https://item.taobao.com/item.htm?id=950123857487,【乐聚】万智牌SLD秘室珍品Absolute Annihilation平/闪英文无信封,,131,0.439597,30.98,0.09417,True,低于外网价,正常,328.984,48.38,328.98,2026-07-27T14:01:11+08:00,TCGplayer监控,连接正常,,已精确连接,密封产品名称与规格严格匹配,1.0,Secret Lair Drop - Absolute Annihilation - Non-Foil,Secret Lair,https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-absolute-annihilation-non-foil,22.0,149.29,28.6,10,False,False,,,,1.2e-05,2,正常,[],低于外网,"{'original': 'https://www.tcgplayer.com/product/514998/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Absolute%20Annihilation%20Non%20Foil%20Edition?xid=a0bf62959-bd8c-497a-bc23-52a677bfa378&Language=English', 'tcgplayer': 'https://www.tcgplayer.com/product/514998/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Absolute%20Annihilation%20Non%20Foil%20Edition?xid=a0bf62959-bd8c-497a-bc23-52a677bfa378&Language=English', 'cardkingdom': 'https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-absolute-annihilation-non-foil', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Absolute+Annihilation+%E7%BE%A4%E4%BC%97%E6%AD%87%E6%96%AF%E5%BA%95%E9%87%8C', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Absolute+Annihilation+%E7%BE%A4%E4%BC%97%E6%AD%87%E6%96%AF%E5%BA%95%E9%87%8C+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,fe299f9828a0c7b3,SL库存,3,SL库存,950123857487,Magic-SLD-R1424-Q4-S002-EnFoil,群众歇斯底里,Absolute Annihilation,,,,闪,,,51,,,,,,223,320,475.59,,320,,,https://www.tcgplayer.com/product/514995/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Absolute%20Annihilation%20Traditional%20Foil%20Edition?xid=ae06a5c1a-174b-4c70-83e9-27ca1e251d85&Language=English,https://item.taobao.com/item.htm?id=950123857487,【乐聚】万智牌SLD秘室珍品Absolute Annihilation平/闪英文无信封,,97,0.303125,155.59,0.327152,True,低于外网价,正常,474,69.94,475.59,2026-07-27T14:01:11+08:00,TCGplayer监控,连接正常,,待人工确认,密封产品候选,0.857143,Secret Lair Drop - Absolute Annihilation - Foil,Secret Lair,https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-absolute-annihilation-foil,,,,,False,False,,,,0.003343,2,正常,[],明显低于外网,"{'original': 'https://www.tcgplayer.com/product/514995/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Absolute%20Annihilation%20Traditional%20Foil%20Edition?xid=ae06a5c1a-174b-4c70-83e9-27ca1e251d85&Language=English', 'tcgplayer': 'https://www.tcgplayer.com/product/514995/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Absolute%20Annihilation%20Traditional%20Foil%20Edition?xid=ae06a5c1a-174b-4c70-83e9-27ca1e251d85&Language=English', 'cardkingdom': 'https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-absolute-annihilation-foil', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Absolute+Annihilation+%E7%BE%A4%E4%BC%97%E6%AD%87%E6%96%AF%E5%BA%95%E9%87%8C', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Absolute+Annihilation+%E7%BE%A4%E4%BC%97%E6%AD%87%E6%96%AF%E5%BA%95%E9%87%8C+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,5b5abc6113f6fcdf,SL库存,5,SL库存,902263156741,Magic-SLD-R1151-Q4-S004-EnNoFoil,艺术家系列：奥札奇,Artist Series: Aleksi Briclot,,,,平,,,11,,,,,,167,820,727.4,,720,,,https://www.tcgplayer.com/product/456538/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Artist%20Series%20Aleksi%20Briclot%20Non%20Foil%20Edition?xid=ab6b77bc2-d96f-4402-b6f8-4c89c09c1eaf&Language=English,https://item.taobao.com/item.htm?id=902263156741,【乐聚】万智牌SLD秘室珍品Aleksi Briclot平/闪英文无信封,,653,0.796341,-92.6,-0.127303,False,,建议改价,727.396,106.97,727.4,2026-07-25T22:19:49+08:00,TCGplayer监控,连接正常,,待人工确认,密封产品候选,0.857143,Secret Lair Drop - Artist Series: Aleksi Briclot - Foil,Secret Lair,https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-artist-series-aleksi-briclot-foil,,,,,False,False,,,,5e-06,2,待复核,['建议价为 ¥720，尚未同步'],,"{'original': 'https://www.tcgplayer.com/product/456538/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Artist%20Series%20Aleksi%20Briclot%20Non%20Foil%20Edition?xid=ab6b77bc2-d96f-4402-b6f8-4c89c09c1eaf&Language=English', 'tcgplayer': 'https://www.tcgplayer.com/product/456538/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Artist%20Series%20Aleksi%20Briclot%20Non%20Foil%20Edition?xid=ab6b77bc2-d96f-4402-b6f8-4c89c09c1eaf&Language=English', 'cardkingdom': 'https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-artist-series-aleksi-briclot-foil', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Artist+Series%3A+Aleksi+Briclot+%E8%89%BA%E6%9C%AF%E5%AE%B6%E7%B3%BB%E5%88%97%EF%BC%9A%E5%A5%A5%E6%9C%AD%E5%A5%87', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Artist+Series%3A+Aleksi+Briclot+%E8%89%BA%E6%9C%AF%E5%AE%B6%E7%B3%BB%E5%88%97%EF%BC%9A%E5%A5%A5%E6%9C%AD%E5%A5%87+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,f8ca34f0fdb4ba71,SL库存,6,SL库存,902263156741,Magic-SLD-R1151-Q4-S005-EnFoil,艺术家系列：奥札奇,Artist Series: Aleksi Briclot,,,,闪,,,25,,,,,,223,1010,981.85,,800,,,https://www.tcgplayer.com/product/456539/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Artist%20Series%20Aleksi%20Briclot%20Traditional%20Foil%20Edition?xid=a073199b2-05ea-4ab8-b534-7d9b4a11efc4&Language=English,https://item.taobao.com/item.htm?id=902263156741,【乐聚】万智牌SLD秘室珍品Aleksi Briclot平/闪英文无信封,,787,0.779208,-28.15,-0.02867,False,,建议改价,1034.484,144.39,981.85,2026-07-25T22:19:49+08:00,TCGplayer监控,连接正常,,待人工确认,密封产品候选,0.875,Secret Lair Drop - Artist Series: Aleksi Briclot - Foil,Secret Lair,https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-artist-series-aleksi-briclot-foil,,,,,False,False,,,,0.050879,2,待复核,['建议价为 ¥800，尚未同步'],,"{'original': 'https://www.tcgplayer.com/product/456539/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Artist%20Series%20Aleksi%20Briclot%20Traditional%20Foil%20Edition?xid=a073199b2-05ea-4ab8-b534-7d9b4a11efc4&Language=English', 'tcgplayer': 'https://www.tcgplayer.com/product/456539/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Artist%20Series%20Aleksi%20Briclot%20Traditional%20Foil%20Edition?xid=a073199b2-05ea-4ab8-b534-7d9b4a11efc4&Language=English', 'cardkingdom': 'https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-artist-series-aleksi-briclot-foil', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Artist+Series%3A+Aleksi+Briclot+%E8%89%BA%E6%9C%AF%E5%AE%B6%E7%B3%BB%E5%88%97%EF%BC%9A%E5%A5%A5%E6%9C%AD%E5%A5%87', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Artist+Series%3A+Aleksi+Briclot+%E8%89%BA%E6%9C%AF%E5%AE%B6%E7%B3%BB%E5%88%97%EF%BC%9A%E5%A5%A5%E6%9C%AD%E5%A5%87+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,0b6c6cc18692ae43,SL库存,9,SL库存,950312958767,Magic-SLD-R484-Q5-S008-EnNoFoil,双城之战 基本地,Secret Lair x Arcane: Lands,,,,平,,,3,,,,,,167,250,151,,250,,,,https://item.taobao.com/item.htm?id=950312958767,【乐聚】万智牌SLD秘室珍品Arcane: Lands平/闪英文无信封,赠卡都在,83,0.332,-99,-0.655629,False,,正常,151,,,,表内参考价,未提供,,无精确匹配,,,,,,,,,,,False,,Secret Lair Drop: Secret Lair x Arcane: Lands - Non-Foil Edition - Secret Lair Drop Series - Magic: The Gathering - TCGplayer.com,已移除错误外链：外网字段是文字，不是可点击网址,,1,正常,[],,"{'original': '', 'tcgplayer': '', 'cardkingdom': '', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Secret+Lair+x+Arcane%3A+Lands+%E5%8F%8C%E5%9F%8E%E4%B9%8B%E6%88%98+%E5%9F%BA%E6%9C%AC%E5%9C%B0', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Secret+Lair+x+Arcane%3A+Lands+%E5%8F%8C%E5%9F%8E%E4%B9%8B%E6%88%98+%E5%9F%BA%E6%9C%AC%E5%9C%B0+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,f8db77d1896d6d47,SL库存,10,SL库存,950312958767,Magic-SLD-R484-Q5-S009-EnFoil,双城之战 基本地,Secret Lair x Arcane: Lands,,,,闪,,,3,,,,,,223,350,250.44,,350,,,https://www.tcgplayer.com/product/258404/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Secret%20Lair%20x%20Arcane%20Lands%20Traditional%20Foil%20Edition?xid=a2cba42a5-4582-48da-8027-3de599548b7d&Language=English,https://item.taobao.com/item.htm?id=950312958767,【乐聚】万智牌SLD秘室珍品Arcane: Lands平/闪英文无信封,2套没有赠卡，1套有赠卡,127,0.362857,-99.56,-0.39754,False,,正常,252.212,36.83,250.44,2026-07-26T20:02:37+08:00,TCGplayer监控,连接正常,,待人工确认,密封产品候选,0.75,Secret Lair Drop - Secret Lair x Brain Dead: Lands - Foil,Secret Lair,https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-secret-lair-x-brain-dead-lands-foil,,,,,False,False,,,,0.007026,2,正常,[],,"{'original': 'https://www.tcgplayer.com/product/258404/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Secret%20Lair%20x%20Arcane%20Lands%20Traditional%20Foil%20Edition?xid=a2cba42a5-4582-48da-8027-3de599548b7d&Language=English', 'tcgplayer': 'https://www.tcgplayer.com/product/258404/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Secret%20Lair%20x%20Arcane%20Lands%20Traditional%20Foil%20Edition?xid=a2cba42a5-4582-48da-8027-3de599548b7d&Language=English', 'cardkingdom': 'https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-secret-lair-x-brain-dead-lands-foil', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Secret+Lair+x+Arcane%3A+Lands+%E5%8F%8C%E5%9F%8E%E4%B9%8B%E6%88%98+%E5%9F%BA%E6%9C%AC%E5%9C%B0', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Secret+Lair+x+Arcane%3A+Lands+%E5%8F%8C%E5%9F%8E%E4%B9%8B%E6%88%98+%E5%9F%BA%E6%9C%AC%E5%9C%B0+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,14bd0e48d5ad6bb5,SL库存,13,SL库存,949814502006,Magic-SLD-R385-Q5-S012-EnNoFoil,星座 基本地 水瓶,Astrology Lands (Aquarius),,,,平,,,16,,,,,,167,260,136.0,,260,,,https://www.tcgplayer.com/product/279185/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Astrology%20Lands%20Aquarius%20Non%20Foil%20Edition?xid=a998be420-14a8-433b-b356-fd30dc751b9e&Language=English,https://item.taobao.com/item.htm?id=949814502006,【乐聚】万智牌SLD秘室珍品Astrology Lands Aquarius平英文无信封,赠卡都在,93,0.357692,-124.0,-0.911765,False,,正常,169.932,20.0,136.0,2026-07-25T21:20:03+08:00,TCGplayer监控,连接正常,,已精确连接,密封产品名称与规格严格匹配,1.0,Secret Lair Drop - The Astrology Lands: Aquarius - Non-Foil,Secret Lair,https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-the-astrology-lands-aquarius-non-foil,7.5,50.9,9.75,10,False,False,,,,0.19968,2,正常,[],,"{'original': 'https://www.tcgplayer.com/product/279185/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Astrology%20Lands%20Aquarius%20Non%20Foil%20Edition?xid=a998be420-14a8-433b-b356-fd30dc751b9e&Language=English', 'tcgplayer': 'https://www.tcgplayer.com/product/279185/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Astrology%20Lands%20Aquarius%20Non%20Foil%20Edition?xid=a998be420-14a8-433b-b356-fd30dc751b9e&Language=English', 'cardkingdom': 'https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-the-astrology-lands-aquarius-non-foil', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Astrology+Lands+%28Aquarius%29+%E6%98%9F%E5%BA%A7+%E5%9F%BA%E6%9C%AC%E5%9C%B0+%E6%B0%B4%E7%93%B6', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Astrology+Lands+%28Aquarius%29+%E6%98%9F%E5%BA%A7+%E5%9F%BA%E6%9C%AC%E5%9C%B0+%E6%B0%B4%E7%93%B6+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
,e879e7ccd2541e2b,SL库存,14,SL库存,949816770640,Magic-SLD-R387-Q5-S013-EnNoFoil,星座 基本地 白羊,Astrology Lands (Aries),,,,平,,,5,,,,,,167,300,364.14,,300,,,https://www.tcgplayer.com/product/279319/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Astrology%20Lands%20Aries%20Non%20Foil%20Edition?xid=ad8f9eb0d-0468-4bd0-b57e-066644c84ea6&Language=English,https://item.taobao.com/item.htm?id=949816770640,【乐聚】万智牌SLD秘室珍品Astrology Lands Aries平英文无信封,1套没有赠卡，4套有赠卡,133,0.443333,64.14,0.176141,True,低于外网价,正常,364.14,53.55,364.14,2026-07-25T21:20:03+08:00,TCGplayer监控,连接正常,,已精确连接,密封产品名称与规格严格匹配,1.0,Secret Lair Drop - The Astrology Lands: Aries - Non-Foil,Secret Lair,https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-the-astrology-lands-aries-non-foil,12.0,81.43,15.6,10,False,False,,,,0.0,2,正常,[],低于外网,"{'original': 'https://www.tcgplayer.com/product/279319/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Astrology%20Lands%20Aries%20Non%20Foil%20Edition?xid=ad8f9eb0d-0468-4bd0-b57e-066644c84ea6&Language=English', 'tcgplayer': 'https://www.tcgplayer.com/product/279319/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Astrology%20Lands%20Aries%20Non%20Foil%20Edition?xid=ad8f9eb0d-0468-4bd0-b57e-066644c84ea6&Language=English', 'cardkingdom': 'https://www.cardkingdom.com/mtg-sealed/secret-lair-drop-the-astrology-lands-aries-non-foil', 'cardmarket': 'https://www.cardmarket.com/en/Magic/Products/Search?searchString=Astrology+Lands+%28Aries%29+%E6%98%9F%E5%BA%A7+%E5%9F%BA%E6%9C%AC%E5%9C%B0+%E7%99%BD%E7%BE%8A', 'ebay_sold': 'https://www.ebay.com/sch/i.html?_nkw=Astrology+Lands+%28Aries%29+%E6%98%9F%E5%BA%A7+%E5%9F%BA%E6%9C%AC%E5%9C%B0+%E7%99%BD%E7%BE%8A+sealed+mtg&LH_Sold=1&LH_Complete=1'}"
